Running 3m test @ http://10.108.73.23:9080/productpage
  4 threads and 10 connections
  Thread calibration: mean lat.: 64.191ms, rate sampling interval: 227ms
  Thread calibration: mean lat.: 71.411ms, rate sampling interval: 239ms
  Thread calibration: mean lat.: 84.354ms, rate sampling interval: 240ms
  Thread calibration: mean lat.: 68.059ms, rate sampling interval: 238ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    69.16ms   35.29ms 190.34ms   63.91%
    Req/Sec     9.52      2.75    17.00     90.06%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   66.24ms
 75.000%  100.29ms
 90.000%  117.44ms
 99.000%  151.55ms
 99.900%  162.82ms
 99.990%  167.68ms
 99.999%  190.46ms
100.000%  190.46ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       8.919     0.000000            1         1.00
      25.503     0.100000          680         1.11
      36.063     0.200000         1362         1.25
      42.591     0.300000         2040         1.43
      52.223     0.400000         2723         1.67
      66.239     0.500000         3400         2.00
      72.959     0.550000         3740         2.22
      76.991     0.600000         4086         2.50
      82.943     0.650000         4422         2.86
      92.735     0.700000         4763         3.33
     100.287     0.750000         5102         4.00
     102.463     0.775000         5271         4.44
     104.895     0.800000         5442         5.00
     107.007     0.825000         5613         5.71
     111.295     0.850000         5781         6.67
     114.431     0.875000         5951         8.00
     116.287     0.887500         6037         8.89
     117.439     0.900000         6121        10.00
     118.655     0.912500         6209        11.43
     120.191     0.925000         6291        13.33
     122.559     0.937500         6376        16.00
     123.903     0.943750         6420        17.78
     125.247     0.950000         6461        20.00
     127.039     0.956250         6505        22.86
     128.895     0.962500         6545        26.67
     132.479     0.968750         6588        32.00
     134.015     0.971875         6610        35.56
     136.959     0.975000         6631        40.00
     142.975     0.978125         6653        45.71
     144.767     0.981250         6673        53.33
     147.583     0.984375         6694        64.00
     148.095     0.985938         6705        71.11
     149.119     0.987500         6715        80.00
     150.655     0.989062         6727        91.43
     152.063     0.990625         6737       106.67
     152.831     0.992188         6748       128.00
     154.623     0.992969         6754       142.22
     155.135     0.993750         6759       160.00
     155.647     0.994531         6765       182.86
     156.159     0.995313         6769       213.33
     157.439     0.996094         6774       256.00
     158.207     0.996484         6777       284.44
     158.463     0.996875         6779       320.00
     159.231     0.997266         6782       365.71
     159.487     0.997656         6785       426.67
     160.255     0.998047         6787       512.00
     161.919     0.998242         6789       568.89
     162.175     0.998437         6791       640.00
     162.175     0.998633         6791       731.43
     162.815     0.998828         6793       853.33
     163.583     0.999023         6794      1024.00
     164.095     0.999121         6795      1137.78
     164.095     0.999219         6795      1280.00
     164.991     0.999316         6796      1462.86
     166.271     0.999414         6797      1706.67
     166.271     0.999512         6797      2048.00
     167.423     0.999561         6798      2275.56
     167.423     0.999609         6798      2560.00
     167.423     0.999658         6798      2925.71
     167.679     0.999707         6799      3413.33
     167.679     0.999756         6799      4096.00
     167.679     0.999780         6799      4551.11
     167.679     0.999805         6799      5120.00
     167.679     0.999829         6799      5851.43
     190.463     0.999854         6800      6826.67
     190.463     1.000000         6800          inf
#[Mean    =       69.160, StdDeviation   =       35.286]
#[Max     =      190.336, Total count    =         6800]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  7201 requests in 3.00m, 105.31MB read
Requests/sec:     40.00
Transfer/sec:    599.05KB
