Running 3m test @ http://10.108.73.23:9080/productpage
  4 threads and 10 connections
  Thread calibration: mean lat.: 191.009ms, rate sampling interval: 754ms
  Thread calibration: mean lat.: 160.937ms, rate sampling interval: 526ms
  Thread calibration: mean lat.: 157.985ms, rate sampling interval: 451ms
  Thread calibration: mean lat.: 126.679ms, rate sampling interval: 428ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   111.81ms   51.57ms 393.22ms   69.16%
    Req/Sec     2.07      1.57     4.00    100.00%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  107.07ms
 75.000%  145.15ms
 90.000%  179.46ms
 99.000%  251.01ms
 99.900%  318.72ms
 99.990%  393.47ms
 99.999%  393.47ms
100.000%  393.47ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       9.143     0.000000            1         1.00
      48.351     0.100000          170         1.11
      66.303     0.200000          340         1.25
      81.535     0.300000          509         1.43
      94.207     0.400000          679         1.67
     107.071     0.500000          848         2.00
     113.215     0.550000          933         2.22
     118.975     0.600000         1018         2.50
     126.911     0.650000         1103         2.86
     135.807     0.700000         1188         3.33
     145.151     0.750000         1272         4.00
     150.271     0.775000         1318         4.44
     153.855     0.800000         1357         5.00
     157.567     0.825000         1400         5.71
     163.199     0.850000         1442         6.67
     172.415     0.875000         1484         8.00
     176.639     0.887500         1506         8.89
     179.839     0.900000         1527        10.00
     184.191     0.912500         1549        11.43
     188.543     0.925000         1569        13.33
     194.175     0.937500         1591        16.00
     197.119     0.943750         1601        17.78
     200.063     0.950000         1612        20.00
     206.207     0.956250         1622        22.86
     215.807     0.962500         1633        26.67
     219.903     0.968750         1643        32.00
     223.487     0.971875         1649        35.56
     225.407     0.975000         1654        40.00
     228.223     0.978125         1659        45.71
     234.623     0.981250         1665        53.33
     238.591     0.984375         1671        64.00
     240.255     0.985938         1673        71.11
     244.223     0.987500         1675        80.00
     249.727     0.989062         1678        91.43
     255.999     0.990625         1681       106.67
     259.327     0.992188         1683       128.00
     259.583     0.992969         1685       142.22
     261.119     0.993750         1686       160.00
     262.015     0.994531         1687       182.86
     274.175     0.995313         1689       213.33
     293.887     0.996094         1690       256.00
     309.759     0.996484         1691       284.44
     309.759     0.996875         1691       320.00
     312.575     0.997266         1692       365.71
     312.831     0.997656         1693       426.67
     312.831     0.998047         1693       512.00
     318.719     0.998242         1694       568.89
     318.719     0.998437         1694       640.00
     318.719     0.998633         1694       731.43
     334.847     0.998828         1695       853.33
     334.847     0.999023         1695      1024.00
     334.847     0.999121         1695      1137.78
     334.847     0.999219         1695      1280.00
     334.847     0.999316         1695      1462.86
     393.471     0.999414         1696      1706.67
     393.471     1.000000         1696          inf
#[Mean    =      111.814, StdDeviation   =       51.568]
#[Max     =      393.216, Total count    =         1696]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1800 requests in 3.00m, 26.33MB read
Requests/sec:     10.00
Transfer/sec:    149.73KB
