Running 3m test @ http://10.108.73.23:9080/productpage
  4 threads and 10 connections
  Thread calibration: mean lat.: 144.268ms, rate sampling interval: 559ms
  Thread calibration: mean lat.: 182.745ms, rate sampling interval: 654ms
  Thread calibration: mean lat.: 104.522ms, rate sampling interval: 345ms
  Thread calibration: mean lat.: 149.608ms, rate sampling interval: 539ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   111.53ms   54.29ms 350.72ms   66.33%
    Req/Sec     7.00      1.61    11.00     93.14%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  106.37ms
 75.000%  147.20ms
 90.000%  185.98ms
 99.000%  260.61ms
 99.900%  283.65ms
 99.990%  315.39ms
 99.999%  350.98ms
100.000%  350.98ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       9.655     0.000000            1         1.00
      45.503     0.100000          510         1.11
      61.471     0.200000         1020         1.25
      79.423     0.300000         1532         1.43
      92.927     0.400000         2043         1.67
     106.367     0.500000         2550         2.00
     112.383     0.550000         2805         2.22
     119.295     0.600000         3059         2.50
     128.575     0.650000         3315         2.86
     137.471     0.700000         3571         3.33
     147.199     0.750000         3823         4.00
     153.471     0.775000         3951         4.44
     157.951     0.800000         4080         5.00
     162.815     0.825000         4206         5.71
     172.159     0.850000         4333         6.67
     180.607     0.875000         4460         8.00
     183.679     0.887500         4526         8.89
     185.983     0.900000         4590        10.00
     189.695     0.912500         4653        11.43
     195.071     0.925000         4715        13.33
     198.783     0.937500         4779        16.00
     201.983     0.943750         4812        17.78
     207.999     0.950000         4843        20.00
     213.887     0.956250         4875        22.86
     216.959     0.962500         4906        26.67
     227.199     0.968750         4938        32.00
     228.607     0.971875         4954        35.56
     230.271     0.975000         4971        40.00
     233.215     0.978125         4987        45.71
     236.671     0.981250         5002        53.33
     241.151     0.984375         5018        64.00
     243.711     0.985938         5026        71.11
     250.111     0.987500         5034        80.00
     259.199     0.989062         5042        91.43
     261.375     0.990625         5050       106.67
     264.447     0.992188         5058       128.00
     265.471     0.992969         5064       142.22
     266.495     0.993750         5070       160.00
     266.495     0.994531         5070       182.86
     268.543     0.995313         5074       213.33
     270.847     0.996094         5078       256.00
     274.175     0.996484         5080       284.44
     274.943     0.996875         5082       320.00
     277.247     0.997266         5084       365.71
     278.527     0.997656         5086       426.67
     280.063     0.998047         5088       512.00
     280.319     0.998242         5090       568.89
     280.319     0.998437         5090       640.00
     282.879     0.998633         5091       731.43
     283.647     0.998828         5092       853.33
     288.255     0.999023         5093      1024.00
     288.255     0.999121         5093      1137.78
     289.279     0.999219         5094      1280.00
     289.279     0.999316         5094      1462.86
     310.527     0.999414         5095      1706.67
     310.527     0.999512         5095      2048.00
     310.527     0.999561         5095      2275.56
     315.391     0.999609         5096      2560.00
     315.391     0.999658         5096      2925.71
     315.391     0.999707         5096      3413.33
     315.391     0.999756         5096      4096.00
     315.391     0.999780         5096      4551.11
     350.975     0.999805         5097      5120.00
     350.975     1.000000         5097          inf
#[Mean    =      111.533, StdDeviation   =       54.295]
#[Max     =      350.720, Total count    =         5097]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  5400 requests in 3.00m, 78.98MB read
Requests/sec:     30.00
Transfer/sec:    449.23KB
