Running 3m test @ http://10.108.73.23:9080/productpage
  4 threads and 10 connections
  Thread calibration: mean lat.: 164.838ms, rate sampling interval: 541ms
  Thread calibration: mean lat.: 155.181ms, rate sampling interval: 544ms
  Thread calibration: mean lat.: 139.115ms, rate sampling interval: 433ms
  Thread calibration: mean lat.: 136.437ms, rate sampling interval: 454ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   113.64ms   54.65ms 311.81ms   65.68%
    Req/Sec     4.44      1.36     9.00     87.00%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  108.48ms
 75.000%  148.61ms
 90.000%  188.16ms
 99.000%  262.91ms
 99.900%  285.70ms
 99.990%  312.06ms
 99.999%  312.06ms
100.000%  312.06ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      10.319     0.000000            1         1.00
      45.791     0.100000          341         1.11
      63.327     0.200000          680         1.25
      81.663     0.300000         1022         1.43
      95.103     0.400000         1360         1.67
     108.479     0.500000         1700         2.00
     114.495     0.550000         1870         2.22
     120.383     0.600000         2041         2.50
     131.711     0.650000         2211         2.86
     139.263     0.700000         2380         3.33
     148.607     0.750000         2551         4.00
     156.543     0.775000         2637         4.44
     159.871     0.800000         2722         5.00
     164.863     0.825000         2805         5.71
     174.463     0.850000         2891         6.67
     183.167     0.875000         2976         8.00
     185.983     0.887500         3021         8.89
     188.159     0.900000         3061        10.00
     191.871     0.912500         3103        11.43
     197.887     0.925000         3146        13.33
     201.599     0.937500         3188        16.00
     204.159     0.943750         3210        17.78
     207.103     0.950000         3230        20.00
     213.375     0.956250         3252        22.86
     217.727     0.962500         3273        26.67
     225.023     0.968750         3294        32.00
     229.503     0.971875         3305        35.56
     233.727     0.975000         3315        40.00
     239.103     0.978125         3327        45.71
     242.175     0.981250         3337        53.33
     247.807     0.984375         3347        64.00
     258.303     0.985938         3353        71.11
     260.735     0.987500         3358        80.00
     261.631     0.989062         3363        91.43
     266.239     0.990625         3369       106.67
     268.031     0.992188         3375       128.00
     268.287     0.992969         3377       142.22
     269.311     0.993750         3379       160.00
     269.823     0.994531         3382       182.86
     272.127     0.995313         3386       213.33
     272.639     0.996094         3387       256.00
     272.895     0.996484         3389       284.44
     276.479     0.996875         3390       320.00
     278.015     0.997266         3391       365.71
     280.063     0.997656         3393       426.67
     280.575     0.998047         3394       512.00
     283.135     0.998242         3395       568.89
     283.135     0.998437         3395       640.00
     285.183     0.998633         3396       731.43
     285.695     0.998828         3397       853.33
     285.695     0.999023         3397      1024.00
     286.975     0.999121         3398      1137.78
     286.975     0.999219         3398      1280.00
     286.975     0.999316         3398      1462.86
     312.063     0.999414         3400      1706.67
     312.063     1.000000         3400          inf
#[Mean    =      113.640, StdDeviation   =       54.653]
#[Max     =      311.808, Total count    =         3400]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  3600 requests in 3.00m, 52.65MB read
Requests/sec:     20.00
Transfer/sec:    299.48KB
