Running 2m test @ http://10.97.31.177:9080/productpage
  2 threads and 10 connections
  Thread calibration: mean lat.: 95.571ms, rate sampling interval: 289ms
  Thread calibration: mean lat.: 84.301ms, rate sampling interval: 240ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    80.97ms   33.73ms 239.10ms   70.27%
    Req/Sec     4.82      7.39    20.00     79.81%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   74.88ms
 75.000%  102.33ms
 90.000%  125.25ms
 99.000%  198.40ms
 99.900%  215.68ms
 99.990%  239.23ms
 99.999%  239.23ms
100.000%  239.23ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      14.655     0.000000            1         1.00
      42.495     0.100000          110         1.11
      53.279     0.200000          220         1.25
      60.607     0.300000          330         1.43
      67.583     0.400000          440         1.67
      74.879     0.500000          550         2.00
      78.911     0.550000          605         2.22
      83.071     0.600000          660         2.50
      88.511     0.650000          716         2.86
      94.527     0.700000          770         3.33
     102.335     0.750000          825         4.00
     105.023     0.775000          853         4.44
     108.863     0.800000          881         5.00
     113.215     0.825000          909         5.71
     117.439     0.850000          935         6.67
     120.703     0.875000          963         8.00
     122.623     0.887500          977         8.89
     125.247     0.900000          990        10.00
     127.679     0.912500         1004        11.43
     130.815     0.925000         1019        13.33
     133.631     0.937500         1032        16.00
     136.319     0.943750         1039        17.78
     138.879     0.950000         1045        20.00
     140.159     0.956250         1052        22.86
     145.151     0.962500         1059        26.67
     147.839     0.968750         1067        32.00
     149.887     0.971875         1070        35.56
     152.191     0.975000         1073        40.00
     157.311     0.978125         1076        45.71
     164.351     0.981250         1080        53.33
     175.487     0.984375         1083        64.00
     190.975     0.985938         1085        71.11
     195.967     0.987500         1087        80.00
     196.991     0.989062         1088        91.43
     200.447     0.990625         1090       106.67
     202.751     0.992188         1092       128.00
     203.903     0.992969         1093       142.22
     205.567     0.993750         1094       160.00
     205.567     0.994531         1094       182.86
     209.919     0.995313         1095       213.33
     212.095     0.996094         1096       256.00
     213.247     0.996484         1097       284.44
     213.247     0.996875         1097       320.00
     213.247     0.997266         1097       365.71
     213.631     0.997656         1098       426.67
     213.631     0.998047         1098       512.00
     215.679     0.998242         1099       568.89
     215.679     0.998437         1099       640.00
     215.679     0.998633         1099       731.43
     215.679     0.998828         1099       853.33
     215.679     0.999023         1099      1024.00
     239.231     0.999121         1100      1137.78
     239.231     1.000000         1100          inf
#[Mean    =       80.974, StdDeviation   =       33.733]
#[Max     =      239.104, Total count    =         1100]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1200 requests in 2.00m, 17.55MB read
Requests/sec:     10.00
Transfer/sec:    149.71KB
