Running 2m test @ http://10.97.31.177:9080/productpage
  2 threads and 10 connections
  Thread calibration: mean lat.: 66.065ms, rate sampling interval: 252ms
  Thread calibration: mean lat.: 63.956ms, rate sampling interval: 210ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    59.04ms   35.91ms 166.78ms   59.82%
    Req/Sec     4.78      8.08    23.00     78.73%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   53.53ms
 75.000%   81.66ms
 90.000%  111.81ms
 99.000%  148.10ms
 99.900%  162.43ms
 99.990%  166.91ms
 99.999%  166.91ms
100.000%  166.91ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      12.167     0.000000            1         1.00
      16.055     0.100000          110         1.11
      20.415     0.200000          221         1.25
      35.135     0.300000          330         1.43
      40.735     0.400000          440         1.67
      53.535     0.500000          550         2.00
      58.431     0.550000          605         2.22
      65.439     0.600000          660         2.50
      73.727     0.650000          715         2.86
      78.527     0.700000          770         3.33
      81.663     0.750000          826         4.00
      84.607     0.775000          853         4.44
      90.111     0.800000          880         5.00
      96.191     0.825000          908         5.71
     100.287     0.850000          935         6.67
     104.959     0.875000          963         8.00
     108.991     0.887500          977         8.89
     111.807     0.900000          991        10.00
     114.815     0.912500         1004        11.43
     118.015     0.925000         1018        13.33
     121.407     0.937500         1033        16.00
     123.583     0.943750         1039        17.78
     127.615     0.950000         1045        20.00
     128.447     0.956250         1053        22.86
     131.071     0.962500         1059        26.67
     134.783     0.968750         1066        32.00
     137.471     0.971875         1070        35.56
     139.007     0.975000         1073        40.00
     140.799     0.978125         1076        45.71
     141.823     0.981250         1080        53.33
     145.919     0.984375         1083        64.00
     146.687     0.985938         1086        71.11
     147.199     0.987500         1087        80.00
     147.839     0.989062         1088        91.43
     148.607     0.990625         1090       106.67
     149.759     0.992188         1092       128.00
     150.399     0.992969         1094       142.22
     150.399     0.993750         1094       160.00
     150.399     0.994531         1094       182.86
     154.879     0.995313         1096       213.33
     154.879     0.996094         1096       256.00
     157.695     0.996484         1097       284.44
     157.695     0.996875         1097       320.00
     157.695     0.997266         1097       365.71
     158.335     0.997656         1098       426.67
     158.335     0.998047         1098       512.00
     162.431     0.998242         1099       568.89
     162.431     0.998437         1099       640.00
     162.431     0.998633         1099       731.43
     162.431     0.998828         1099       853.33
     162.431     0.999023         1099      1024.00
     166.911     0.999121         1100      1137.78
     166.911     1.000000         1100          inf
#[Mean    =       59.037, StdDeviation   =       35.913]
#[Max     =      166.784, Total count    =         1100]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1201 requests in 2.00m, 17.56MB read
Requests/sec:     10.01
Transfer/sec:    149.84KB
