Running 2m test @ http://10.97.31.177:9080/productpage
  2 threads and 10 connections
  Thread calibration: mean lat.: 82.107ms, rate sampling interval: 266ms
  Thread calibration: mean lat.: 89.936ms, rate sampling interval: 301ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    77.18ms   33.81ms 235.90ms   67.18%
    Req/Sec     4.79      7.05    18.00     75.45%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   71.23ms
 75.000%  101.12ms
 90.000%  126.40ms
 99.000%  160.51ms
 99.900%  220.03ms
 99.990%  236.03ms
 99.999%  236.03ms
100.000%  236.03ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      14.519     0.000000            1         1.00
      37.855     0.100000          110         1.11
      47.551     0.200000          220         1.25
      54.591     0.300000          330         1.43
      61.631     0.400000          440         1.67
      71.231     0.500000          550         2.00
      76.607     0.550000          605         2.22
      81.727     0.600000          662         2.50
      86.207     0.650000          715         2.86
      93.247     0.700000          770         3.33
     101.119     0.750000          825         4.00
     104.383     0.775000          853         4.44
     108.287     0.800000          880         5.00
     111.551     0.825000          908         5.71
     115.583     0.850000          935         6.67
     121.407     0.875000          963         8.00
     123.775     0.887500          977         8.89
     126.399     0.900000          990        10.00
     128.383     0.912500         1004        11.43
     133.119     0.925000         1018        13.33
     135.679     0.937500         1032        16.00
     136.447     0.943750         1039        17.78
     137.727     0.950000         1045        20.00
     139.647     0.956250         1052        22.86
     140.543     0.962500         1059        26.67
     143.359     0.968750         1066        32.00
     143.743     0.971875         1070        35.56
     144.383     0.975000         1073        40.00
     148.479     0.978125         1076        45.71
     150.527     0.981250         1080        53.33
     153.471     0.984375         1083        64.00
     155.135     0.985938         1085        71.11
     158.079     0.987500         1087        80.00
     159.103     0.989062         1088        91.43
     161.023     0.990625         1090       106.67
     165.503     0.992188         1092       128.00
     169.343     0.992969         1093       142.22
     169.983     0.993750         1094       160.00
     169.983     0.994531         1094       182.86
     172.031     0.995313         1095       213.33
     177.791     0.996094         1096       256.00
     189.823     0.996484         1098       284.44
     189.823     0.996875         1098       320.00
     189.823     0.997266         1098       365.71
     189.823     0.997656         1098       426.67
     189.823     0.998047         1098       512.00
     220.031     0.998242         1099       568.89
     220.031     0.998437         1099       640.00
     220.031     0.998633         1099       731.43
     220.031     0.998828         1099       853.33
     220.031     0.999023         1099      1024.00
     236.031     0.999121         1100      1137.78
     236.031     1.000000         1100          inf
#[Mean    =       77.183, StdDeviation   =       33.815]
#[Max     =      235.904, Total count    =         1100]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1200 requests in 2.00m, 17.55MB read
Requests/sec:     10.00
Transfer/sec:    149.72KB
