Running 2m test @ http://10.102.123.170:11000/a?value=1
  2 threads and 4 connections
  Thread calibration: mean lat.: 122.248ms, rate sampling interval: 419ms
  Thread calibration: mean lat.: 121.258ms, rate sampling interval: 427ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    82.11ms   15.50ms 148.22ms   61.73%
    Req/Sec     4.34      1.09     9.00     89.79%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   74.82ms
 75.000%   97.54ms
 90.000%  101.89ms
 99.000%  121.15ms
 99.900%  145.28ms
 99.990%  148.35ms
 99.999%  148.35ms
100.000%  148.35ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      55.135     0.000000            1         1.00
      65.119     0.100000          110         1.11
      69.055     0.200000          222         1.25
      70.911     0.300000          338         1.43
      72.639     0.400000          441         1.67
      74.815     0.500000          550         2.00
      76.799     0.550000          605         2.22
      85.759     0.600000          660         2.50
      93.375     0.650000          715         2.86
      95.487     0.700000          770         3.33
      97.535     0.750000          825         4.00
      98.303     0.775000          853         4.44
      99.007     0.800000          880         5.00
      99.711     0.825000          909         5.71
     100.415     0.850000          935         6.67
     101.055     0.875000          964         8.00
     101.503     0.887500          977         8.89
     101.887     0.900000          994        10.00
     102.079     0.912500         1004        11.43
     102.655     0.925000         1019        13.33
     103.359     0.937500         1032        16.00
     103.871     0.943750         1039        17.78
     104.383     0.950000         1045        20.00
     104.831     0.956250         1052        22.86
     105.727     0.962500         1059        26.67
     106.431     0.968750         1066        32.00
     106.687     0.971875         1070        35.56
     106.815     0.975000         1073        40.00
     107.647     0.978125         1076        45.71
     108.159     0.981250         1080        53.33
     109.567     0.984375         1083        64.00
     110.719     0.985938         1085        71.11
     119.807     0.987500         1087        80.00
     120.895     0.989062         1088        91.43
     121.727     0.990625         1090       106.67
     124.863     0.992188         1092       128.00
     125.311     0.992969         1093       142.22
     125.887     0.993750         1094       160.00
     125.887     0.994531         1094       182.86
     127.039     0.995313         1095       213.33
     129.663     0.996094         1096       256.00
     136.191     0.996484         1097       284.44
     136.191     0.996875         1097       320.00
     136.191     0.997266         1097       365.71
     143.743     0.997656         1098       426.67
     143.743     0.998047         1098       512.00
     145.279     0.998242         1099       568.89
     145.279     0.998437         1099       640.00
     145.279     0.998633         1099       731.43
     145.279     0.998828         1099       853.33
     145.279     0.999023         1099      1024.00
     148.351     0.999121         1100      1137.78
     148.351     1.000000         1100          inf
#[Mean    =       82.109, StdDeviation   =       15.496]
#[Max     =      148.224, Total count    =         1100]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1200 requests in 2.00m, 290.75KB read
Requests/sec:     10.00
Transfer/sec:      2.42KB
