Running 2m test @ http://10.99.205.204:11000/a?value=1
  4 threads and 10 connections
  Thread calibration: mean lat.: 90.177ms, rate sampling interval: 257ms
  Thread calibration: mean lat.: 91.816ms, rate sampling interval: 235ms
  Thread calibration: mean lat.: 91.939ms, rate sampling interval: 231ms
  Thread calibration: mean lat.: 84.633ms, rate sampling interval: 220ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    81.29ms   24.88ms 186.24ms   67.97%
    Req/Sec     2.33      3.51     9.00     73.93%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   81.34ms
 75.000%   97.21ms
 90.000%  113.73ms
 99.000%  140.29ms
 99.900%  172.16ms
 99.990%  186.37ms
 99.999%  186.37ms
100.000%  186.37ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       9.823     0.000000            1         1.00
      52.223     0.100000          110         1.11
      59.423     0.200000          220         1.25
      66.175     0.300000          329         1.43
      73.279     0.400000          439         1.67
      81.343     0.500000          548         2.00
      84.031     0.550000          603         2.22
      86.015     0.600000          659         2.50
      88.511     0.650000          713         2.86
      92.671     0.700000          769         3.33
      97.215     0.750000          822         4.00
     100.223     0.775000          850         4.44
     103.231     0.800000          877         5.00
     105.983     0.825000          905         5.71
     108.607     0.850000          932         6.67
     111.231     0.875000          959         8.00
     112.383     0.887500          973         8.89
     113.791     0.900000          987        10.00
     116.287     0.912500         1001        11.43
     117.759     0.925000         1015        13.33
     120.703     0.937500         1028        16.00
     121.663     0.943750         1035        17.78
     123.135     0.950000         1042        20.00
     124.607     0.956250         1049        22.86
     125.439     0.962500         1056        26.67
     127.999     0.968750         1062        32.00
     130.367     0.971875         1066        35.56
     130.879     0.975000         1069        40.00
     132.607     0.978125         1073        45.71
     135.039     0.981250         1076        53.33
     136.447     0.984375         1080        64.00
     136.575     0.985938         1081        71.11
     138.367     0.987500         1083        80.00
     140.287     0.989062         1085        91.43
     141.183     0.990625         1086       106.67
     144.767     0.992188         1088       128.00
     148.991     0.992969         1089       142.22
     150.527     0.993750         1090       160.00
     151.039     0.994531         1091       182.86
     151.039     0.995313         1091       213.33
     151.551     0.996094         1092       256.00
     157.439     0.996484         1093       284.44
     157.439     0.996875         1093       320.00
     169.471     0.997266         1094       365.71
     169.471     0.997656         1094       426.67
     169.471     0.998047         1094       512.00
     172.159     0.998242         1095       568.89
     172.159     0.998437         1095       640.00
     172.159     0.998633         1095       731.43
     172.159     0.998828         1095       853.33
     172.159     0.999023         1095      1024.00
     186.367     0.999121         1096      1137.78
     186.367     1.000000         1096          inf
#[Mean    =       81.285, StdDeviation   =       24.882]
#[Max     =      186.240, Total count    =         1096]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1200 requests in 2.00m, 290.88KB read
Requests/sec:     10.00
Transfer/sec:      2.42KB
