Running 2m test @ http://10.97.31.177:9080/productpage
  2 threads and 10 connections
  Thread calibration: mean lat.: 123.489ms, rate sampling interval: 349ms
  Thread calibration: mean lat.: 130.224ms, rate sampling interval: 390ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   119.19ms   54.87ms 363.78ms   67.91%
    Req/Sec     4.73      5.55    14.00     77.14%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  116.61ms
 75.000%  150.27ms
 90.000%  188.93ms
 99.000%  263.42ms
 99.900%  336.64ms
 99.990%  364.03ms
 99.999%  364.03ms
100.000%  364.03ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      12.391     0.000000            1         1.00
      49.631     0.100000          110         1.11
      78.527     0.200000          220         1.25
      84.735     0.300000          330         1.43
     106.623     0.400000          440         1.67
     116.607     0.500000          551         2.00
     121.727     0.550000          605         2.22
     130.175     0.600000          660         2.50
     141.183     0.650000          715         2.86
     145.151     0.700000          770         3.33
     150.271     0.750000          826         4.00
     155.135     0.775000          853         4.44
     160.383     0.800000          880         5.00
     170.495     0.825000          908         5.71
     178.047     0.850000          935         6.67
     183.167     0.875000          963         8.00
     186.495     0.887500          977         8.89
     188.927     0.900000          990        10.00
     193.023     0.912500         1004        11.43
     197.375     0.925000         1018        13.33
     202.495     0.937500         1032        16.00
     206.207     0.943750         1039        17.78
     212.991     0.950000         1045        20.00
     215.167     0.956250         1052        22.86
     219.519     0.962500         1059        26.67
     226.559     0.968750         1066        32.00
     231.295     0.971875         1070        35.56
     236.415     0.975000         1073        40.00
     247.423     0.978125         1076        45.71
     249.343     0.981250         1080        53.33
     251.135     0.984375         1083        64.00
     256.511     0.985938         1085        71.11
     260.607     0.987500         1087        80.00
     263.423     0.989062         1089        91.43
     264.959     0.990625         1090       106.67
     273.151     0.992188         1092       128.00
     278.527     0.992969         1093       142.22
     279.807     0.993750         1094       160.00
     279.807     0.994531         1094       182.86
     282.367     0.995313         1095       213.33
     282.879     0.996094         1096       256.00
     297.471     0.996484         1097       284.44
     297.471     0.996875         1097       320.00
     297.471     0.997266         1097       365.71
     306.175     0.997656         1098       426.67
     306.175     0.998047         1098       512.00
     336.639     0.998242         1099       568.89
     336.639     0.998437         1099       640.00
     336.639     0.998633         1099       731.43
     336.639     0.998828         1099       853.33
     336.639     0.999023         1099      1024.00
     364.031     0.999121         1100      1137.78
     364.031     1.000000         1100          inf
#[Mean    =      119.190, StdDeviation   =       54.868]
#[Max     =      363.776, Total count    =         1100]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1200 requests in 2.00m, 17.55MB read
Requests/sec:     10.00
Transfer/sec:    149.72KB
