Running 3m test @ http://10.108.73.23:9080/productpage
  4 threads and 10 connections
  Thread calibration: mean lat.: 144.679ms, rate sampling interval: 585ms
  Thread calibration: mean lat.: 108.032ms, rate sampling interval: 378ms
  Thread calibration: mean lat.: 140.283ms, rate sampling interval: 600ms
  Thread calibration: mean lat.: 119.560ms, rate sampling interval: 449ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   104.08ms   50.55ms 308.48ms   68.18%
    Req/Sec     6.87      1.56    11.00     85.93%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   99.26ms
 75.000%  137.47ms
 90.000%  175.62ms
 99.000%  238.08ms
 99.900%  270.85ms
 99.990%  294.40ms
 99.999%  308.73ms
100.000%  308.73ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       9.263     0.000000            1         1.00
      40.511     0.100000          510         1.11
      59.327     0.200000         1021         1.25
      73.215     0.300000         1530         1.43
      87.999     0.400000         2041         1.67
      99.263     0.500000         2551         2.00
     105.919     0.550000         2806         2.22
     110.847     0.600000         3065         2.50
     116.863     0.650000         3314         2.86
     127.167     0.700000         3569         3.33
     137.471     0.750000         3829         4.00
     141.311     0.775000         3953         4.44
     146.175     0.800000         4081         5.00
     151.807     0.825000         4209         5.71
     157.055     0.850000         4338         6.67
     164.223     0.875000         4462         8.00
     168.831     0.887500         4525         8.89
     175.871     0.900000         4593        10.00
     180.095     0.912500         4654        11.43
     183.423     0.925000         4718        13.33
     188.159     0.937500         4781        16.00
     190.207     0.943750         4812        17.78
     193.407     0.950000         4846        20.00
     195.327     0.956250         4876        22.86
     200.319     0.962500         4907        26.67
     210.559     0.968750         4939        32.00
     215.295     0.971875         4955        35.56
     217.215     0.975000         4971        40.00
     221.439     0.978125         4987        45.71
     224.639     0.981250         5003        53.33
     227.583     0.984375         5019        64.00
     229.759     0.985938         5027        71.11
     232.575     0.987500         5036        80.00
     236.799     0.989062         5043        91.43
     253.567     0.990625         5051       106.67
     257.791     0.992188         5059       128.00
     258.815     0.992969         5063       142.22
     259.967     0.993750         5067       160.00
     261.375     0.994531         5072       182.86
     261.631     0.995313         5076       213.33
     262.399     0.996094         5079       256.00
     262.655     0.996484         5081       284.44
     263.679     0.996875         5084       320.00
     263.935     0.997266         5086       365.71
     264.447     0.997656         5087       426.67
     264.959     0.998047         5090       512.00
     264.959     0.998242         5090       568.89
     265.215     0.998437         5091       640.00
     269.311     0.998633         5092       731.43
     270.847     0.998828         5093       853.33
     277.759     0.999023         5094      1024.00
     277.759     0.999121         5094      1137.78
     279.295     0.999219         5095      1280.00
     279.295     0.999316         5095      1462.86
     282.623     0.999414         5096      1706.67
     282.623     0.999512         5096      2048.00
     282.623     0.999561         5096      2275.56
     294.399     0.999609         5097      2560.00
     294.399     0.999658         5097      2925.71
     294.399     0.999707         5097      3413.33
     294.399     0.999756         5097      4096.00
     294.399     0.999780         5097      4551.11
     308.735     0.999805         5098      5120.00
     308.735     1.000000         5098          inf
#[Mean    =      104.080, StdDeviation   =       50.553]
#[Max     =      308.480, Total count    =         5098]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  5400 requests in 3.00m, 78.98MB read
Requests/sec:     30.00
Transfer/sec:    449.22KB
