Running 3m test @ http://10.99.205.204:11000/a?value=1
  4 threads and 10 connections
  Thread calibration: mean lat.: 53.661ms, rate sampling interval: 225ms
  Thread calibration: mean lat.: 42.759ms, rate sampling interval: 228ms
  Thread calibration: mean lat.: 47.754ms, rate sampling interval: 248ms
  Thread calibration: mean lat.: 32.305ms, rate sampling interval: 98ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    48.32ms   43.29ms 193.66ms   80.90%
    Req/Sec     2.38      4.53    20.00     78.74%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   29.44ms
 75.000%   57.95ms
 90.000%  120.38ms
 99.000%  186.37ms
 99.900%  193.02ms
 99.990%  193.79ms
 99.999%  193.79ms
100.000%  193.79ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       9.231     0.000000            1         1.00
      12.119     0.100000          171         1.11
      14.671     0.200000          340         1.25
      18.335     0.300000          510         1.43
      19.807     0.400000          680         1.67
      29.439     0.500000          848         2.00
      41.247     0.550000          933         2.22
      45.727     0.600000         1018         2.50
      49.247     0.650000         1104         2.86
      53.119     0.700000         1188         3.33
      57.951     0.750000         1273         4.00
      61.631     0.775000         1315         4.44
      67.455     0.800000         1357         5.00
     107.967     0.825000         1401         5.71
     112.447     0.850000         1442         6.67
     115.647     0.875000         1486         8.00
     117.375     0.887500         1506         8.89
     120.383     0.900000         1530        10.00
     121.663     0.912500         1548        11.43
     124.607     0.925000         1569        13.33
     126.463     0.937500         1590        16.00
     127.743     0.943750         1601        17.78
     129.023     0.950000         1612        20.00
     130.623     0.956250         1622        22.86
     133.631     0.962500         1633        26.67
     136.703     0.968750         1643        32.00
     142.079     0.971875         1649        35.56
     179.327     0.975000         1654        40.00
     180.863     0.978125         1659        45.71
     181.759     0.981250         1665        53.33
     184.447     0.984375         1670        64.00
     185.471     0.985938         1674        71.11
     185.599     0.987500         1675        80.00
     185.983     0.989062         1678        91.43
     186.367     0.990625         1681       106.67
     186.879     0.992188         1685       128.00
     186.879     0.992969         1685       142.22
     187.007     0.993750         1686       160.00
     188.287     0.994531         1687       182.86
     189.055     0.995313         1689       213.33
     189.695     0.996094         1690       256.00
     190.719     0.996484         1691       284.44
     190.719     0.996875         1691       320.00
     192.255     0.997266         1692       365.71
     192.639     0.997656         1693       426.67
     192.639     0.998047         1693       512.00
     193.023     0.998242         1694       568.89
     193.023     0.998437         1694       640.00
     193.023     0.998633         1694       731.43
     193.535     0.998828         1695       853.33
     193.535     0.999023         1695      1024.00
     193.535     0.999121         1695      1137.78
     193.535     0.999219         1695      1280.00
     193.535     0.999316         1695      1462.86
     193.791     0.999414         1696      1706.67
     193.791     1.000000         1696          inf
#[Mean    =       48.324, StdDeviation   =       43.292]
#[Max     =      193.664, Total count    =         1696]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1803 requests in 3.00m, 436.87KB read
Requests/sec:     10.02
Transfer/sec:      2.43KB
