Running 3m test @ http://10.108.73.23:9080/productpage
  4 threads and 10 connections
  Thread calibration: mean lat.: 72.489ms, rate sampling interval: 219ms
  Thread calibration: mean lat.: 78.600ms, rate sampling interval: 270ms
  Thread calibration: mean lat.: 58.739ms, rate sampling interval: 225ms
  Thread calibration: mean lat.: 38.559ms, rate sampling interval: 152ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    46.41ms   30.13ms 149.12ms   64.03%
    Req/Sec     2.37      3.97    13.00     83.69%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   35.26ms
 75.000%   68.10ms
 90.000%   95.93ms
 99.000%  113.47ms
 99.900%  147.33ms
 99.990%  149.25ms
 99.999%  149.25ms
100.000%  149.25ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       9.271     0.000000            1         1.00
      12.615     0.100000          170         1.11
      16.511     0.200000          340         1.25
      27.887     0.300000          509         1.43
      31.631     0.400000          679         1.67
      35.263     0.500000          848         2.00
      38.495     0.550000          933         2.22
      50.911     0.600000         1019         2.50
      55.871     0.650000         1103         2.86
      62.847     0.700000         1188         3.33
      68.095     0.750000         1273         4.00
      71.167     0.775000         1317         4.44
      73.855     0.800000         1358         5.00
      75.839     0.825000         1401         5.71
      79.103     0.850000         1442         6.67
      88.191     0.875000         1484         8.00
      93.311     0.887500         1506         8.89
      96.063     0.900000         1528        10.00
     100.799     0.912500         1549        11.43
     104.191     0.925000         1570        13.33
     105.535     0.937500         1590        16.00
     106.239     0.943750         1601        17.78
     107.007     0.950000         1612        20.00
     107.775     0.956250         1622        22.86
     108.479     0.962500         1636        26.67
     109.375     0.968750         1644        32.00
     109.567     0.971875         1649        35.56
     109.823     0.975000         1655        40.00
     110.207     0.978125         1660        45.71
     110.911     0.981250         1665        53.33
     111.423     0.984375         1670        64.00
     112.447     0.985938         1673        71.11
     112.831     0.987500         1676        80.00
     113.407     0.989062         1678        91.43
     114.367     0.990625         1681       106.67
     115.263     0.992188         1683       128.00
     116.159     0.992969         1687       142.22
     116.159     0.993750         1687       160.00
     116.159     0.994531         1687       182.86
     117.375     0.995313         1689       213.33
     118.655     0.996094         1690       256.00
     118.975     0.996484         1691       284.44
     118.975     0.996875         1691       320.00
     119.487     0.997266         1692       365.71
     138.239     0.997656         1693       426.67
     138.239     0.998047         1693       512.00
     147.327     0.998242         1694       568.89
     147.327     0.998437         1694       640.00
     147.327     0.998633         1694       731.43
     149.119     0.998828         1695       853.33
     149.119     0.999023         1695      1024.00
     149.119     0.999121         1695      1137.78
     149.119     0.999219         1695      1280.00
     149.119     0.999316         1695      1462.86
     149.247     0.999414         1696      1706.67
     149.247     1.000000         1696          inf
#[Mean    =       46.415, StdDeviation   =       30.134]
#[Max     =      149.120, Total count    =         1696]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1801 requests in 3.00m, 26.34MB read
Requests/sec:     10.00
Transfer/sec:    149.82KB
