Running 3m test @ http://10.108.73.23:9080/productpage
  4 threads and 10 connections
  Thread calibration: mean lat.: 154.471ms, rate sampling interval: 557ms
  Thread calibration: mean lat.: 133.225ms, rate sampling interval: 433ms
  Thread calibration: mean lat.: 157.184ms, rate sampling interval: 501ms
  Thread calibration: mean lat.: 131.959ms, rate sampling interval: 466ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   104.90ms   51.88ms 329.73ms   69.29%
    Req/Sec     4.49      1.42     9.00     87.07%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   99.84ms
 75.000%  136.83ms
 90.000%  178.94ms
 99.000%  259.84ms
 99.900%  300.80ms
 99.990%  329.98ms
 99.999%  329.98ms
100.000%  329.98ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       9.623     0.000000            1         1.00
      40.351     0.100000          340         1.11
      59.455     0.200000          680         1.25
      74.239     0.300000         1020         1.43
      87.999     0.400000         1360         1.67
      99.839     0.500000         1702         2.00
     106.495     0.550000         1873         2.22
     111.807     0.600000         2041         2.50
     117.375     0.650000         2211         2.86
     126.335     0.700000         2382         3.33
     136.831     0.750000         2554         4.00
     140.159     0.775000         2635         4.44
     145.535     0.800000         2720         5.00
     151.551     0.825000         2807         5.71
     156.671     0.850000         2890         6.67
     166.527     0.875000         2976         8.00
     174.719     0.887500         3018         8.89
     178.943     0.900000         3060        10.00
     183.039     0.912500         3104        11.43
     187.519     0.925000         3146        13.33
     190.847     0.937500         3191        16.00
     192.255     0.943750         3212        17.78
     195.455     0.950000         3230        20.00
     202.751     0.956250         3253        22.86
     215.935     0.962500         3275        26.67
     218.239     0.968750         3294        32.00
     219.775     0.971875         3305        35.56
     223.487     0.975000         3315        40.00
     227.711     0.978125         3326        45.71
     230.655     0.981250         3337        53.33
     234.623     0.984375         3347        64.00
     236.287     0.985938         3353        71.11
     238.719     0.987500         3358        80.00
     257.919     0.989062         3363        91.43
     260.095     0.990625         3369       106.67
     261.119     0.992188         3374       128.00
     261.503     0.992969         3377       142.22
     262.015     0.993750         3379       160.00
     263.935     0.994531         3383       182.86
     264.447     0.995313         3385       213.33
     264.959     0.996094         3387       256.00
     265.471     0.996484         3390       284.44
     265.471     0.996875         3390       320.00
     266.239     0.997266         3391       365.71
     269.055     0.997656         3393       426.67
     277.247     0.998047         3395       512.00
     277.247     0.998242         3395       568.89
     277.247     0.998437         3395       640.00
     296.703     0.998633         3396       731.43
     300.799     0.998828         3397       853.33
     300.799     0.999023         3397      1024.00
     307.455     0.999121         3398      1137.78
     307.455     0.999219         3398      1280.00
     307.455     0.999316         3398      1462.86
     311.551     0.999414         3399      1706.67
     311.551     0.999512         3399      2048.00
     311.551     0.999561         3399      2275.56
     311.551     0.999609         3399      2560.00
     311.551     0.999658         3399      2925.71
     329.983     0.999707         3400      3413.33
     329.983     1.000000         3400          inf
#[Mean    =      104.904, StdDeviation   =       51.883]
#[Max     =      329.728, Total count    =         3400]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  3601 requests in 3.00m, 52.66MB read
Requests/sec:     20.00
Transfer/sec:    299.57KB
