Running 3m test @ http://10.99.205.204:11000/a?value=1
  4 threads and 10 connections
  Thread calibration: mean lat.: 140.898ms, rate sampling interval: 390ms
  Thread calibration: mean lat.: 153.569ms, rate sampling interval: 401ms
  Thread calibration: mean lat.: 155.326ms, rate sampling interval: 402ms
  Thread calibration: mean lat.: 147.033ms, rate sampling interval: 386ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   148.76ms   37.87ms 211.84ms   58.31%
    Req/Sec     2.23      2.20     5.00    100.00%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  124.29ms
 75.000%  193.79ms
 90.000%  199.93ms
 99.000%  206.59ms
 99.900%  211.58ms
 99.990%  211.97ms
 99.999%  211.97ms
100.000%  211.97ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      97.791     0.000000            1         1.00
     113.279     0.100000          170         1.11
     117.311     0.200000          344         1.25
     119.551     0.300000          510         1.43
     121.727     0.400000          679         1.67
     124.287     0.500000          848         2.00
     126.719     0.550000          933         2.22
     131.327     0.600000         1018         2.50
     186.879     0.650000         1103         2.86
     191.231     0.700000         1188         3.33
     193.791     0.750000         1272         4.00
     194.815     0.775000         1319         4.44
     195.711     0.800000         1357         5.00
     196.863     0.825000         1405         5.71
     197.759     0.850000         1445         6.67
     198.783     0.875000         1488         8.00
     199.423     0.887500         1506         8.89
     199.935     0.900000         1527        10.00
     200.575     0.912500         1549        11.43
     201.215     0.925000         1573        13.33
     201.855     0.937500         1593        16.00
     202.111     0.943750         1601        17.78
     202.623     0.950000         1614        20.00
     203.007     0.956250         1627        22.86
     203.263     0.962500         1633        26.67
     203.775     0.968750         1643        32.00
     204.159     0.971875         1650        35.56
     204.671     0.975000         1654        40.00
     205.055     0.978125         1663        45.71
     205.183     0.981250         1666        53.33
     205.439     0.984375         1670        64.00
     205.951     0.985938         1673        71.11
     206.207     0.987500         1676        80.00
     206.335     0.989062         1678        91.43
     206.591     0.990625         1681       106.67
     207.231     0.992188         1683       128.00
     207.359     0.992969         1685       142.22
     207.487     0.993750         1686       160.00
     207.871     0.994531         1687       182.86
     208.511     0.995313         1689       213.33
     209.151     0.996094         1690       256.00
     209.279     0.996484         1692       284.44
     209.279     0.996875         1692       320.00
     209.279     0.997266         1692       365.71
     209.919     0.997656         1693       426.67
     209.919     0.998047         1693       512.00
     211.583     0.998242         1694       568.89
     211.583     0.998437         1694       640.00
     211.583     0.998633         1694       731.43
     211.711     0.998828         1695       853.33
     211.711     0.999023         1695      1024.00
     211.711     0.999121         1695      1137.78
     211.711     0.999219         1695      1280.00
     211.711     0.999316         1695      1462.86
     211.967     0.999414         1696      1706.67
     211.967     1.000000         1696          inf
#[Mean    =      148.760, StdDeviation   =       37.870]
#[Max     =      211.840, Total count    =         1696]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1800 requests in 3.00m, 437.67KB read
Requests/sec:     10.00
Transfer/sec:      2.43KB
