Running 2m test @ http://10.97.31.177:9080/productpage
  2 threads and 10 connections
  Thread calibration: mean lat.: 105.560ms, rate sampling interval: 362ms
  Thread calibration: mean lat.: 101.223ms, rate sampling interval: 314ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    80.94ms   33.27ms 280.58ms   71.45%
    Req/Sec     4.72      6.13    15.00     72.59%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   75.90ms
 75.000%  100.16ms
 90.000%  124.35ms
 99.000%  186.24ms
 99.900%  272.89ms
 99.990%  280.83ms
 99.999%  280.83ms
100.000%  280.83ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      14.655     0.000000            1         1.00
      44.063     0.100000          110         1.11
      53.375     0.200000          221         1.25
      60.063     0.300000          330         1.43
      68.351     0.400000          441         1.67
      75.903     0.500000          551         2.00
      80.447     0.550000          606         2.22
      84.991     0.600000          660         2.50
      89.471     0.650000          715         2.86
      93.439     0.700000          770         3.33
     100.159     0.750000          826         4.00
     103.615     0.775000          854         4.44
     106.751     0.800000          880         5.00
     110.719     0.825000          909         5.71
     115.135     0.850000          935         6.67
     119.679     0.875000          963         8.00
     121.855     0.887500          977         8.89
     124.351     0.900000          990        10.00
     126.463     0.912500         1005        11.43
     129.663     0.925000         1018        13.33
     132.351     0.937500         1032        16.00
     134.015     0.943750         1039        17.78
     135.679     0.950000         1045        20.00
     139.519     0.956250         1052        22.86
     142.463     0.962500         1059        26.67
     147.199     0.968750         1066        32.00
     149.631     0.971875         1070        35.56
     156.287     0.975000         1073        40.00
     163.071     0.978125         1076        45.71
     172.287     0.981250         1080        53.33
     179.327     0.984375         1083        64.00
     182.399     0.985938         1085        71.11
     184.191     0.987500         1087        80.00
     184.959     0.989062         1088        91.43
     187.519     0.990625         1090       106.67
     190.079     0.992188         1092       128.00
     190.335     0.992969         1093       142.22
     191.743     0.993750         1094       160.00
     191.743     0.994531         1094       182.86
     194.303     0.995313         1095       213.33
     195.839     0.996094         1096       256.00
     196.351     0.996484         1097       284.44
     196.351     0.996875         1097       320.00
     196.351     0.997266         1097       365.71
     204.799     0.997656         1098       426.67
     204.799     0.998047         1098       512.00
     272.895     0.998242         1099       568.89
     272.895     0.998437         1099       640.00
     272.895     0.998633         1099       731.43
     272.895     0.998828         1099       853.33
     272.895     0.999023         1099      1024.00
     280.831     0.999121         1100      1137.78
     280.831     1.000000         1100          inf
#[Mean    =       80.941, StdDeviation   =       33.272]
#[Max     =      280.576, Total count    =         1100]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1200 requests in 2.00m, 17.55MB read
Requests/sec:     10.00
Transfer/sec:    149.70KB
