Running 3m test @ http://10.108.73.23:9080/productpage
  4 threads and 10 connections
  Thread calibration: mean lat.: 80.905ms, rate sampling interval: 355ms
  Thread calibration: mean lat.: 75.725ms, rate sampling interval: 363ms
  Thread calibration: mean lat.: 95.966ms, rate sampling interval: 326ms
  Thread calibration: mean lat.: 59.431ms, rate sampling interval: 220ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    59.14ms   50.79ms 279.55ms   85.73%
    Req/Sec     2.32      2.93     9.00     92.58%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   29.50ms
 75.000%  100.93ms
 90.000%  126.53ms
 99.000%  215.68ms
 99.900%  275.97ms
 99.990%  279.81ms
 99.999%  279.81ms
100.000%  279.81ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      12.167     0.000000            1         1.00
      16.895     0.100000          171         1.11
      19.167     0.200000          341         1.25
      21.327     0.300000          509         1.43
      26.639     0.400000          680         1.67
      29.503     0.500000          849         2.00
      34.815     0.550000          933         2.22
      56.831     0.600000         1018         2.50
      61.695     0.650000         1103         2.86
      94.847     0.700000         1188         3.33
     100.927     0.750000         1272         4.00
     102.399     0.775000         1316         4.44
     103.999     0.800000         1358         5.00
     106.047     0.825000         1400         5.71
     108.671     0.850000         1442         6.67
     112.959     0.875000         1484         8.00
     118.143     0.887500         1506         8.89
     126.975     0.900000         1527        10.00
     137.983     0.912500         1548        11.43
     142.591     0.925000         1570        13.33
     155.647     0.937500         1590        16.00
     176.767     0.943750         1602        17.78
     179.327     0.950000         1613        20.00
     180.735     0.956250         1622        22.86
     182.015     0.962500         1634        26.67
     182.783     0.968750         1643        32.00
     183.295     0.971875         1649        35.56
     184.063     0.975000         1657        40.00
     184.575     0.978125         1660        45.71
     185.215     0.981250         1665        53.33
     186.239     0.984375         1670        64.00
     186.751     0.985938         1673        71.11
     202.495     0.987500         1675        80.00
     211.839     0.989062         1678        91.43
     219.135     0.990625         1681       106.67
     223.359     0.992188         1683       128.00
     225.663     0.992969         1685       142.22
     226.559     0.993750         1686       160.00
     227.199     0.994531         1687       182.86
     229.375     0.995313         1689       213.33
     230.783     0.996094         1690       256.00
     231.551     0.996484         1691       284.44
     231.551     0.996875         1691       320.00
     233.087     0.997266         1692       365.71
     234.367     0.997656         1693       426.67
     234.367     0.998047         1693       512.00
     275.967     0.998242         1694       568.89
     275.967     0.998437         1694       640.00
     275.967     0.998633         1694       731.43
     278.783     0.998828         1695       853.33
     278.783     0.999023         1695      1024.00
     278.783     0.999121         1695      1137.78
     278.783     0.999219         1695      1280.00
     278.783     0.999316         1695      1462.86
     279.807     0.999414         1696      1706.67
     279.807     1.000000         1696          inf
#[Mean    =       59.139, StdDeviation   =       50.790]
#[Max     =      279.552, Total count    =         1696]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1802 requests in 3.00m, 26.35MB read
Requests/sec:     10.01
Transfer/sec:    149.89KB
