Running 3m test @ http://10.108.73.23:9080/productpage
  4 threads and 10 connections
  Thread calibration: mean lat.: 51.627ms, rate sampling interval: 166ms
  Thread calibration: mean lat.: 59.330ms, rate sampling interval: 188ms
  Thread calibration: mean lat.: 57.831ms, rate sampling interval: 208ms
  Thread calibration: mean lat.: 67.485ms, rate sampling interval: 216ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    60.70ms   35.59ms 152.06ms   61.73%
    Req/Sec     2.38      4.00    12.00     80.95%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   53.57ms
 75.000%   91.07ms
 90.000%  111.17ms
 99.000%  141.57ms
 99.900%  150.01ms
 99.990%  152.19ms
 99.999%  152.19ms
100.000%  152.19ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       8.631     0.000000            1         1.00
      20.159     0.100000          170         1.11
      24.591     0.200000          340         1.25
      34.495     0.300000          509         1.43
      42.495     0.400000          679         1.67
      53.567     0.500000          848         2.00
      60.831     0.550000          933         2.22
      66.431     0.600000         1019         2.50
      72.895     0.650000         1105         2.86
      81.663     0.700000         1188         3.33
      91.071     0.750000         1273         4.00
      93.247     0.775000         1315         4.44
      94.591     0.800000         1357         5.00
      96.959     0.825000         1400         5.71
     101.695     0.850000         1443         6.67
     105.471     0.875000         1484         8.00
     107.391     0.887500         1506         8.89
     111.167     0.900000         1527        10.00
     114.047     0.912500         1548        11.43
     117.247     0.925000         1569        13.33
     120.895     0.937500         1590        16.00
     124.159     0.943750         1601        17.78
     128.383     0.950000         1612        20.00
     132.991     0.956250         1625        22.86
     134.527     0.962500         1634        26.67
     135.807     0.968750         1643        32.00
     136.191     0.971875         1649        35.56
     137.343     0.975000         1654        40.00
     138.111     0.978125         1660        45.71
     139.135     0.981250         1665        53.33
     139.391     0.984375         1670        64.00
     140.031     0.985938         1673        71.11
     140.415     0.987500         1675        80.00
     140.927     0.989062         1678        91.43
     142.719     0.990625         1682       106.67
     144.127     0.992188         1683       128.00
     146.047     0.992969         1685       142.22
     146.175     0.993750         1686       160.00
     146.559     0.994531         1687       182.86
     147.711     0.995313         1691       213.33
     147.711     0.996094         1691       256.00
     147.711     0.996484         1691       284.44
     147.711     0.996875         1691       320.00
     148.223     0.997266         1692       365.71
     149.247     0.997656         1693       426.67
     149.247     0.998047         1693       512.00
     150.015     0.998242         1694       568.89
     150.015     0.998437         1694       640.00
     150.015     0.998633         1694       731.43
     151.039     0.998828         1695       853.33
     151.039     0.999023         1695      1024.00
     151.039     0.999121         1695      1137.78
     151.039     0.999219         1695      1280.00
     151.039     0.999316         1695      1462.86
     152.191     0.999414         1696      1706.67
     152.191     1.000000         1696          inf
#[Mean    =       60.704, StdDeviation   =       35.589]
#[Max     =      152.064, Total count    =         1696]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1801 requests in 3.00m, 26.34MB read
Requests/sec:     10.00
Transfer/sec:    149.81KB
