Running 2m test @ http://10.97.31.177:9080/productpage
  2 threads and 10 connections
  Thread calibration: mean lat.: 68.425ms, rate sampling interval: 277ms
  Thread calibration: mean lat.: 78.505ms, rate sampling interval: 289ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    47.32ms   32.16ms 213.76ms   87.72%
    Req/Sec     4.88      7.28    18.00     77.19%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   34.65ms
 75.000%   65.66ms
 90.000%   82.37ms
 99.000%  143.74ms
 99.900%  212.74ms
 99.990%  213.89ms
 99.999%  213.89ms
100.000%  213.89ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      13.855     0.000000            1         1.00
      19.647     0.100000          110         1.11
      22.991     0.200000          220         1.25
      26.879     0.300000          332         1.43
      31.199     0.400000          441         1.67
      34.655     0.500000          550         2.00
      36.735     0.550000          605         2.22
      41.407     0.600000          660         2.50
      46.719     0.650000          716         2.86
      60.319     0.700000          770         3.33
      65.791     0.750000          825         4.00
      67.391     0.775000          853         4.44
      69.567     0.800000          880         5.00
      71.679     0.825000          908         5.71
      73.855     0.850000          935         6.67
      77.567     0.875000          962         8.00
      79.679     0.887500          977         8.89
      82.431     0.900000          991        10.00
      86.143     0.912500         1003        11.43
     103.935     0.925000         1017        13.33
     114.943     0.937500         1031        16.00
     118.335     0.943750         1038        17.78
     123.327     0.950000         1045        20.00
     125.183     0.956250         1051        22.86
     128.063     0.962500         1058        26.67
     129.343     0.968750         1065        32.00
     130.623     0.971875         1069        35.56
     133.375     0.975000         1072        40.00
     134.399     0.978125         1076        45.71
     136.447     0.981250         1079        53.33
     137.855     0.984375         1082        64.00
     139.007     0.985938         1084        71.11
     139.391     0.987500         1086        80.00
     143.103     0.989062         1087        91.43
     146.943     0.990625         1089       106.67
     148.479     0.992188         1091       128.00
     199.551     0.992969         1092       142.22
     200.703     0.993750         1093       160.00
     200.703     0.994531         1093       182.86
     202.879     0.995313         1094       213.33
     205.439     0.996094         1095       256.00
     205.695     0.996484         1096       284.44
     205.695     0.996875         1096       320.00
     205.695     0.997266         1096       365.71
     211.071     0.997656         1097       426.67
     211.071     0.998047         1097       512.00
     212.735     0.998242         1098       568.89
     212.735     0.998437         1098       640.00
     212.735     0.998633         1098       731.43
     212.735     0.998828         1098       853.33
     212.735     0.999023         1098      1024.00
     213.887     0.999121         1099      1137.78
     213.887     1.000000         1099          inf
#[Mean    =       47.322, StdDeviation   =       32.155]
#[Max     =      213.760, Total count    =         1099]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1202 requests in 2.00m, 17.58MB read
Requests/sec:     10.01
Transfer/sec:    149.97KB
